gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,ave_leader_value_b0,ave_follower_value_b0,density,gap
cooperative,Stackelberg,1,1,0.0900719165802002,4,-200.0,-200.0,0.30000000000000004,0.0
cooperative,Stackelberg,2,1,0.14410996437072754,7,-246.0,-246.0,0.30000000000000004,0.0
cooperative,Stackelberg,3,1,0.4281580448150635,12,-292.0,-292.0,0.30000000000000004,0.0
cooperative,Stackelberg,4,1,0.40325307846069336,17,-338.0,-338.0,0.30000000000000004,0.0
cooperative,Stackelberg,5,1,0.6074478626251221,22,-384.0,-384.0,0.30000000000000004,0.0
cooperative,State of the Art,1,1,0.006182193756103516,4,-200.0,-200.0,0.30000000000000004,0.0
cooperative,State of the Art,2,1,0.014899969100952148,7,-246.0,-246.0,0.30000000000000004,0.0
cooperative,State of the Art,3,1,0.03113722801208496,12,-292.0,-292.0,0.30000000000000004,0.0
cooperative,State of the Art,4,1,0.07023906707763672,17,-338.0,-338.0,0.30000000000000004,0.0
cooperative,State of the Art,5,1,0.18416619300842285,22,-384.0,-384.0,0.30000000000000004,0.0
zerosum,Stackelberg,1,1,0.07507610321044922,4,-200.0,200.0,0.30000000000000004,400.0
zerosum,Stackelberg,2,1,0.1408069133758545,7,-246.0,246.0,0.30000000000000004,492.0
zerosum,Stackelberg,3,1,0.24700593948364258,12,-292.0,292.0,0.30000000000000004,584.0
zerosum,Stackelberg,4,1,0.37935686111450195,17,-338.0,338.0,0.30000000000000004,676.0
zerosum,Stackelberg,5,1,0.6392002105712891,22,-384.0,384.0,0.30000000000000004,768.0
zerosum,State of the Art,1,1,0.1046910285949707,4,-90.38176742166596,-90.38176742166596,0.30000000000000004,0.0
zerosum,State of the Art,2,1,0.19255495071411133,7,-121.48125693352736,-121.48125693352736,0.30000000000000004,0.0
zerosum,State of the Art,3,1,0.4764716625213623,12,-167.62325070719817,-167.62325070719817,0.30000000000000004,0.0
zerosum,State of the Art,4,1,2.1897988319396973,17,-204.40023230648757,-204.40023230648757,0.30000000000000004,0.0
zerosum,State of the Art,5,1,22.336971044540405,22,-242.82059785046818,-242.82059785046818,0.30000000000000004,0.0
stackelberg,Stackelberg,1,1,0.08272886276245117,4,-121.13042176088186,-124.47769242074337,0.30000000000000004,3.3472706598615076
stackelberg,Stackelberg,2,1,0.17600011825561523,7,-182.44288669502725,-174.48423591374436,0.30000000000000004,7.958650781282898
stackelberg,Stackelberg,3,1,0.31042003631591797,12,-225.01600085284318,-229.62466273272753,0.30000000000000004,4.608661879884352
stackelberg,Stackelberg,4,1,0.5804321765899658,17,-270.52980130595256,-282.0592151202635,0.30000000000000004,11.529413814310942
stackelberg,Stackelberg,5,1,1.4352192878723145,22,-316.1934660842574,-334.5142452279032,0.30000000000000004,18.32077914364578
stackelberg,State of the Art,1,1,0.0768430233001709,4,-125.89375648913044,-56.274312157768755,0.30000000000000004,69.61944433136168
stackelberg,State of the Art,2,1,0.1563420295715332,7,-165.47596672603325,-56.274312157768755,0.30000000000000004,109.2016545682645
stackelberg,State of the Art,3,1,0.3357250690460205,12,-205.04941895987056,-56.274312157768755,0.30000000000000004,148.77510680210182
stackelberg,State of the Art,4,1,1.2161431312561035,17,-244.62259845807546,-56.274312157768755,0.30000000000000004,188.3482863003067
stackelberg,State of the Art,5,1,7.733345985412598,22,-284.1960506919128,-56.274312157768755,0.30000000000000004,227.92173853414403
